#,TICKER,Operación,Títulos,Diferencia,Justo,Rendimiento,Utilidad,Inversión,ISIN,País,Empresa
1,AVGO*,Vende en BMV,1350,24.089600000000246,6540.6304,0.003683070060035841,32520.960000000334,8829851.04,US11135F1012,UNITED STATES,BROADCOM INC
2,TCEHYN,Vende en BMV y BIVA,102,19.049703529411687,1099.3091200000001,0.017328796043656662,1943.0697599999921,112129.53024000001,US88032Q1094,CHINA,TENCENT HOLDINGS LTD-UNS ADR
3,CTVA*,Vende en BMV y BIVA,11,13.444945454545364,1441.0096,0.009330226151543587,147.894399999999,15851.1056,US22052L1044,UNITED STATES,CORTEVA INC
4,NFLX*,Vende en BMV,10,4.36553600000002,1775.634464,0.002458578096172851,43.6553600000002,17756.34464,US64110L1061,UNITED STATES,NETFLIX INC
5,ARE*,Vende en BMV,1,40.49302399999999,759.506976,0.05331488094192303,40.49302399999999,759.506976,US0152711091,UNITED STATES,ALEXANDRIA REAL ESTATE EQUIT
6,MNST*,Vende en BMV,1,20.051200000000108,1302.9488,0.015389092802418722,20.051200000000108,1302.9488,US61174X1090,UNITED STATES,MONSTER BEVERAGE CORP
7,MDTN,Vende en BMV,2,7.590431999999964,1526.089568,0.004973778839172278,15.180863999999929,3052.179136,IE00BTN1Y115,IRELAND,MEDTRONIC PLC
8,DXCM*,Vende en BMV,3,4.806655999999975,1086.193344,0.0044252305784705445,14.419967999999926,3258.580032,US2521311074,UNITED STATES,DEXCOM INC
9,NNN*,Vende en BMV,1,13.408000000000015,776.592,0.017265179141685745,13.408000000000015,776.592,US6374171063,UNITED STATES,NNN REIT INC
10,CLX*,Vende en BMV,2,6.072480000000041,1793.92752,0.00338501970246827,12.144960000000083,3587.85504,US1890541097,UNITED STATES,CLOROX COMPANY
11,MAT*,Vende en BIVA,1,6.31328000000002,253.68671999999998,0.024886127267521218,6.31328000000002,253.68671999999998,US5770811025,UNITED STATES,MATTEL INC
